* description: Calculates the construction wood demand for a certain share of NEW urban settlers based on SSP urban population and Churkina et al 2020. Calculated based on current urban population and peak urban population.
* unit: mio tDM
"* origin: calcOutput(type = ""ConstructionWoodDemand"", aggregate = TRUE, file = ""f73_construction_wood_demand.cs3"", round = 2) (madrat 2.18.3 | mrcommons 1.12.2)"
* creation date: Mon Jul 18 16:33:40 2022
"dummy,dummy,dummy,BAU,10pc,50pc,90pc,current_trajectories,further_acceleration,acheived_commitments"
"y2040,SCO,SSP1,0,0.29,1.44,2.58,0,0,0.29"
"y2085,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2030,SCO,SSP3,0,0.19,0.93,1.67,0,0,0.19"
"y2090,SCO,SSP3,0,1.3,6.49,11.69,0,0,1.3"
"y2030,SCO,SSP1,0,0.14,0.72,1.29,0,0,0.14"
"y2085,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2090,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2035,SCO,SSP3,0,0.28,1.39,2.5,0,0,0.28"
"y2090,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2080,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2095,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2070,SCO,SSP3,0,0.93,4.64,8.35,0,0,0.93"
"y2100,SCO,SSP3,0,1.48,7.42,13.36,0,0,1.48"
"y2085,SCO,SSP3,0,1.21,6.03,10.85,0,0,1.21"
"y2080,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2100,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2085,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2065,SCO,SSP2,0,0.63,3.14,5.65,0,0,0.63"
"y2045,SCO,SSP1,0,0.36,1.79,3.23,0,0,0.36"
"y2040,SCO,SSP2,0,0.3,1.49,2.68,0,0,0.3"
"y2095,SCO,SSP3,0,1.39,6.96,12.52,0,0,1.39"
"y2080,SCO,SSP3,0,1.11,5.57,10.02,0,0,1.11"
"y2035,SCO,SSP1,0,0.22,1.08,1.94,0,0,0.22"
"y2090,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2075,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2060,SCO,SSP2,0,0.58,2.91,5.24,0,0,0.58"
"y2080,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2070,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2060,SCO,SSP3,0,0.74,3.71,6.68,0,0,0.74"
"y2075,SCO,SSP3,0,1.02,5.1,9.18,0,0,1.02"
"y2075,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2055,SCO,SSP2,0,0.51,2.56,4.6,0,0,0.51"
"y2050,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2065,SCO,SSP3,0,0.83,4.17,7.51,0,0,0.83"
"y2065,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2050,SCO,SSP2,0,0.44,2.2,3.96,0,0,0.44"
"y2045,SCO,SSP2,0,0.37,1.85,3.32,0,0,0.37"
"y2070,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2055,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2060,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2025,SEA,SSP1,0,1.59,7.97,14.34,0,0,1.59"
"y2080,SEA,SSP2,0,9.36,46.81,84.25,0,0,9.36"
"y2055,SEA,SSP4,0,14.46,72.29,130.12,0,0,14.46"
"y2065,SEA,SSP5,0,13.09,65.47,117.85,0,0,13.09"
"y2060,SEA,SSP3,0,3.89,19.44,34.99,0,0,3.89"
"y2060,SEA,SSP1,0,12.4,62.02,111.64,0,0,12.4"
"y2090,SEA,SSP4,0,18.37,91.83,165.29,0,0,18.37"
"y2055,SEA,SSP5,0,11.07,55.37,99.67,0,0,11.07"
"y2100,SEA,SSP5,0,13.92,69.62,125.31,0,0,13.92"
"y2065,SEA,SSP3,0,4.37,21.87,39.36,0,0,4.37"
"y2070,SEA,SSP3,0,4.86,24.3,43.74,0,0,4.86"
"y2045,SEA,SSP5,0,8.02,40.12,72.21,0,0,8.02"
"y2090,SEA,SSP5,0,13.92,69.62,125.31,0,0,13.92"
"y2075,SEA,SSP5,0,13.66,68.28,122.91,0,0,13.66"
"y2050,SEA,SSP2,0,5.41,27.05,48.69,0,0,5.41"
"y2025,SEA,SSP4,0,2.23,11.16,20.1,0,0,2.23"
"y2080,SEA,SSP5,0,13.89,69.44,124.98,0,0,13.89"
"y2095,SEA,SSP5,0,13.92,69.62,125.31,0,0,13.92"
"y2030,SEA,SSP1,0,3.19,15.93,28.68,0,0,3.19"
"y2085,SEA,SSP2,0,9.6,48.02,86.44,0,0,9.6"
"y2060,SEA,SSP4,0,15.52,77.59,139.66,0,0,15.52"
"y2070,SEA,SSP5,0,13.43,67.13,120.83,0,0,13.43"
"y2050,SEA,SSP3,0,2.92,14.58,26.24,0,0,2.92"
"y2065,SEA,SSP1,0,12.98,64.88,116.79,0,0,12.98"
"y2095,SEA,SSP4,0,18.82,94.12,169.42,0,0,18.82"
"y2060,SEA,SSP5,0,12.52,62.6,112.69,0,0,12.52"
"y2080,SEA,SSP4,0,17.45,87.24,157.02,0,0,17.45"
"y2055,SEA,SSP3,0,3.4,17.01,30.62,0,0,3.4"
"y2075,SEA,SSP3,0,5.35,26.73,48.11,0,0,5.35"
"y2050,SEA,SSP5,0,9.63,48.14,86.66,0,0,9.63"
"y2045,SEA,SSP3,0,2.43,12.15,21.87,0,0,2.43"
"y2085,SEA,SSP4,0,17.91,89.53,161.16,0,0,17.91"
"y2055,SEA,SSP2,0,6.31,31.56,56.81,0,0,6.31"
"y2030,SEA,SSP4,0,4.47,22.33,40.19,0,0,4.47"
"y2085,SEA,SSP5,0,13.91,69.53,125.15,0,0,13.91"
"y2075,SEA,SSP4,0,16.99,84.94,152.89,0,0,16.99"
"y2035,SEA,SSP1,0,4.78,23.9,43.02,0,0,4.78"
"y2090,SEA,SSP2,0,9.85,49.24,88.63,0,0,9.85"
"y2065,SEA,SSP4,0,16.01,80.04,144.07,0,0,16.01"
"y2050,SEA,SSP4,0,13.4,66.99,120.58,0,0,13.4"
"y2040,SEA,SSP3,0,1.94,9.72,17.5,0,0,1.94"
"y2070,SEA,SSP1,0,13.53,67.63,121.73,0,0,13.53"
"y2100,SEA,SSP4,0,19.28,96.42,173.56,0,0,19.28"
"y2070,SEA,SSP4,0,16.5,82.49,148.48,0,0,16.5"
"y2035,SEA,SSP2,0,2.71,13.53,24.35,0,0,2.71"
"y2100,SEA,SSP1,0,14.12,70.59,127.07,0,0,14.12"
"y2080,SEA,SSP3,0,5.83,29.16,52.49,0,0,5.83"
"y2045,SEA,SSP4,0,11.16,55.82,100.48,0,0,11.16"
"y2035,SEA,SSP3,0,1.46,7.29,13.12,0,0,1.46"
"y2040,SEA,SSP2,0,3.61,18.03,32.46,0,0,3.61"
"y2060,SEA,SSP2,0,7.21,36.07,64.92,0,0,7.21"
"y2035,SEA,SSP4,0,6.7,33.49,60.29,0,0,6.7"
"y2030,SEA,SSP5,0,3.21,16.05,28.89,0,0,3.21"
"y2100,SEA,SSP3,0,7.78,38.88,69.98,0,0,7.78"
"y2040,SEA,SSP1,0,6.37,31.87,57.36,0,0,6.37"
"y2095,SEA,SSP2,0,10.04,50.2,90.36,0,0,10.04"
"y2040,SEA,SSP4,0,8.93,44.66,80.38,0,0,8.93"
"y2035,SEA,SSP5,0,4.81,24.07,43.33,0,0,4.81"
"y2040,SEA,SSP5,0,6.42,32.09,57.77,0,0,6.42"
"y2075,SEA,SSP1,0,13.8,69,124.19,0,0,13.8"
"y2025,SEA,SSP5,0,1.6,8.02,14.44,0,0,1.6"
"y2095,SEA,SSP3,0,7.29,36.45,65.61,0,0,7.29"
"y2095,SEA,SSP1,0,14.12,70.58,127.05,0,0,14.12"
"y2045,SEA,SSP2,0,4.51,22.54,40.58,0,0,4.51"
"y2085,SEA,SSP3,0,6.32,31.59,56.86,0,0,6.32"
"y2025,SEA,SSP3,0,0.49,2.43,4.37,0,0,0.49"
"y2030,SEA,SSP3,0,0.97,4.86,8.75,0,0,0.97"
"y2025,SEA,SSP2,0,0.9,4.51,8.12,0,0,0.9"
"y2065,SEA,SSP2,0,8.04,40.22,72.4,0,0,8.04"
"y2090,SEA,SSP3,0,6.8,34.02,61.23,0,0,6.8"
"y2090,SEA,SSP1,0,14.11,70.57,127.03,0,0,14.11"
"y2055,SEA,SSP1,0,10.98,54.91,98.84,0,0,10.98"
"y2045,SEA,SSP1,0,7.97,39.84,71.71,0,0,7.97"
"y2100,SEA,SSP2,0,10.23,51.15,92.08,0,0,10.23"
"y2075,SEA,SSP2,0,9.12,45.59,82.06,0,0,9.12"
"y2030,SEA,SSP2,0,1.8,9.02,16.23,0,0,1.8"
"y2080,SEA,SSP1,0,14.07,70.37,126.66,0,0,14.07"
"y2085,SEA,SSP1,0,14.09,70.47,126.85,0,0,14.09"
"y2070,SEA,SSP2,0,8.87,44.37,79.87,0,0,8.87"
"y2050,SEA,SSP1,0,9.56,47.8,86.05,0,0,9.56"
"y2035,TAF,SSP2,0,8.41,42.06,75.71,0,0,8.41"
"y2080,TAF,SSP5,0,31.09,155.43,279.78,0,0,31.09"
"y2085,TAF,SSP5,0,33.27,166.37,299.46,0,0,33.27"
"y2095,TAF,SSP1,0,38.58,192.92,347.26,0,0,38.58"
"y2030,TAF,SSP2,0,5.61,28.04,50.47,0,0,5.61"
"y2070,TAF,SSP4,0,58.69,293.45,528.2,0,0,58.69"
"y2075,TAF,SSP5,0,28.59,142.95,257.31,0,0,28.59"
"y2070,TAF,SSP5,0,26.09,130.47,234.84,0,0,26.09"
"y2100,TAF,SSP1,0,40.26,201.32,362.38,0,0,40.26"
"y2025,TAF,SSP2,0,2.8,14.02,25.24,0,0,2.8"
"y2075,TAF,SSP4,0,64.56,322.78,581,0,0,64.56"
"y2035,TAF,SSP4,0,17.61,88.04,158.48,0,0,17.61"
"y2050,TAF,SSP4,0,35.22,176.09,316.96,0,0,35.22"
"y2065,TAF,SSP4,0,52.82,264.11,475.41,0,0,52.82"
"y2090,TAF,SSP5,0,35.46,177.3,319.14,0,0,35.46"
"y2025,TAF,SSP4,0,5.87,29.35,52.83,0,0,5.87"
"y2040,TAF,SSP4,0,23.48,117.39,211.3,0,0,23.48"
"y2055,TAF,SSP4,0,41.09,205.44,369.78,0,0,41.09"
"y2065,TAF,SSP2,0,25.24,126.18,227.13,0,0,25.24"
"y2095,TAF,SSP5,0,37.33,186.66,335.99,0,0,37.33"
"y2030,TAF,SSP4,0,11.74,58.7,105.65,0,0,11.74"
"y2045,TAF,SSP4,0,29.35,146.74,264.13,0,0,29.35"
"y2050,TAF,SSP3,0,17.38,86.91,156.44,0,0,17.38"
"y2070,TAF,SSP2,0,28.04,140.2,252.37,0,0,28.04"
"y2060,TAF,SSP5,0,21.01,105.05,189.09,0,0,21.01"
"y2030,TAF,SSP5,0,5.31,26.56,47.81,0,0,5.31"
"y2060,TAF,SSP2,0,22.43,112.16,201.89,0,0,22.43"
"y2055,TAF,SSP3,0,20.28,101.39,182.51,0,0,20.28"
"y2080,TAF,SSP1,0,32.04,160.18,288.32,0,0,32.04"
"y2065,TAF,SSP5,0,23.55,117.76,211.97,0,0,23.55"
"y2085,TAF,SSP1,0,34.35,171.77,309.19,0,0,34.35"
"y2045,TAF,SSP3,0,14.48,72.42,130.36,0,0,14.48"
"y2090,TAF,SSP3,0,40.56,202.79,365.02,0,0,40.56"
"y2025,TAF,SSP5,0,2.66,13.28,23.91,0,0,2.66"
"y2060,TAF,SSP4,0,46.96,234.78,422.61,0,0,46.96"
"y2090,TAF,SSP1,0,36.64,183.21,329.78,0,0,36.64"
"y2075,TAF,SSP1,0,29.39,146.93,264.47,0,0,29.39"
"y2100,TAF,SSP5,0,38.95,194.77,350.58,0,0,38.95"
"y2045,TAF,SSP5,0,13.24,66.22,119.19,0,0,13.24"
"y2040,TAF,SSP3,0,11.59,57.94,104.29,0,0,11.59"
"y2085,TAF,SSP3,0,37.66,188.3,338.94,0,0,37.66"
"y2075,TAF,SSP2,0,30.84,154.2,277.57,0,0,30.84"
"y2095,TAF,SSP2,0,41.99,209.97,377.95,0,0,41.99"
"y2050,TAF,SSP5,0,15.86,79.31,142.76,0,0,15.86"
"y2050,TAF,SSP2,0,16.82,84.12,151.42,0,0,16.82"
"y2040,TAF,SSP1,0,10.7,53.5,96.3,0,0,10.7"
"y2070,TAF,SSP1,0,26.74,133.68,240.62,0,0,26.74"
"y2100,TAF,SSP2,0,44.75,223.75,402.76,0,0,44.75"
"y2055,TAF,SSP5,0,18.44,92.18,165.93,0,0,18.44"
"y2055,TAF,SSP2,0,19.63,98.14,176.66,0,0,19.63"
"y2045,TAF,SSP1,0,13.38,66.88,120.38,0,0,13.38"
"y2060,TAF,SSP1,0,21.4,107,192.61,0,0,21.4"
"y2100,TAF,SSP3,0,46.35,231.76,417.16,0,0,46.35"
"y2090,TAF,SSP2,0,39.24,196.2,353.15,0,0,39.24"
"y2045,TAF,SSP2,0,14.02,70.1,126.18,0,0,14.02"
"y2065,TAF,SSP1,0,24.07,120.34,216.61,0,0,24.07"
"y2035,TAF,SSP5,0,7.97,39.84,71.72,0,0,7.97"
"y2030,TAF,SSP3,0,5.79,28.97,52.15,0,0,5.79"
"y2075,TAF,SSP3,0,31.87,159.33,286.8,0,0,31.87"
"y2055,TAF,SSP1,0,18.73,93.63,168.53,0,0,18.73"
"y2095,TAF,SSP3,0,43.45,217.27,391.09,0,0,43.45"
"y2085,TAF,SSP2,0,36.44,182.2,327.96,0,0,36.44"
"y2035,TAF,SSP3,0,8.69,43.45,78.22,0,0,8.69"
"y2080,TAF,SSP3,0,34.76,173.82,312.87,0,0,34.76"
"y2035,TAF,SSP1,0,8.03,40.13,72.23,0,0,8.03"
"y2025,TAF,SSP3,0,2.9,14.48,26.07,0,0,2.9"
"y2070,TAF,SSP3,0,28.97,144.85,260.73,0,0,28.97"
"y2050,TAF,SSP1,0,16.05,80.25,144.45,0,0,16.05"
"y2025,TAF,SSP1,0,2.68,13.38,24.08,0,0,2.68"
"y2090,TAF,SSP4,0,82.15,410.77,739.39,0,0,82.15"
"y2100,TAF,SSP4,0,93.89,469.43,844.98,0,0,93.89"
"y2080,TAF,SSP2,0,33.64,168.21,302.77,0,0,33.64"
"y2030,TAF,SSP1,0,5.35,26.75,48.15,0,0,5.35"
"y2040,TAF,SSP5,0,10.63,53.13,95.63,0,0,10.63"
"y2040,TAF,SSP2,0,11.22,56.08,100.95,0,0,11.22"
"y2095,TAF,SSP4,0,88.02,440.1,792.18,0,0,88.02"
"y2080,TAF,SSP4,0,70.42,352.11,633.79,0,0,70.42"
"y2060,TAF,SSP3,0,23.18,115.88,208.58,0,0,23.18"
"y2065,TAF,SSP3,0,26.07,130.36,234.65,0,0,26.07"
"y2085,TAF,SSP4,0,76.29,381.44,686.59,0,0,76.29"
"y2025,TLA,SSP3,0,0.71,3.55,6.39,0,0,0"
"y2040,TLA,SSP2,0,2.05,10.23,18.41,0,0,0"
"y2100,TLA,SSP2,0,5.65,28.26,50.87,0,0,0"
"y2100,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2075,TLA,SSP2,0,5.09,25.44,45.79,0,0,0"
"y2090,TLA,SSP2,0,5.55,27.74,49.93,0,0,0"
"y2075,TLA,SSP1,0,6.32,31.62,56.92,0,0,0"
"y2070,TLA,SSP2,0,4.75,23.77,42.79,0,0,0"
"y2030,TLA,SSP3,0,1.42,7.1,12.77,0,0,0"
"y2080,TLA,SSP2,0,5.42,27.11,48.79,0,0,0"
"y2060,TLA,SSP2,0,3.92,19.6,35.28,0,0,0"
"y2080,TLA,SSP1,0,6.36,31.79,57.22,0,0,0"
"y2075,TLA,SSP4,0,7.9,39.48,71.07,0,0,0"
"y2045,TLA,SSP2,0,2.56,12.78,23,0,0,0"
"y2050,TLA,SSP2,0,3.06,15.32,27.58,0,0,0"
"y2095,TLA,SSP2,0,5.6,28,50.4,0,0,0"
"y2085,TLA,SSP1,0,6.36,31.79,57.22,0,0,0"
"y2080,TLA,SSP4,0,8.1,40.48,72.87,0,0,0"
"y2085,TLA,SSP2,0,5.48,27.42,49.36,0,0,0"
"y2055,TLA,SSP2,0,3.49,17.46,31.43,0,0,0"
"y2045,TLA,SSP1,0,4.73,23.67,42.61,0,0,0"
"y2090,TLA,SSP1,0,6.36,31.79,57.22,0,0,0"
"y2035,TLA,SSP3,0,2.13,10.64,19.16,0,0,0"
"y2065,TLA,SSP1,0,6.22,31.09,55.97,0,0,0"
"y2050,TLA,SSP1,0,5.56,27.78,50,0,0,0"
"y2055,TLA,SSP5,0,4.92,24.62,44.31,0,0,0"
"y2095,TLA,SSP1,0,6.36,31.79,57.22,0,0,0"
"y2025,TLA,SSP1,0,1,5.02,9.04,0,0,0"
"y2065,TLA,SSP2,0,4.34,21.68,39.03,0,0,0"
"y2055,TLA,SSP1,0,5.85,29.26,52.66,0,0,0"
"y2050,TLA,SSP4,0,6.5,32.52,58.54,0,0,0"
"y2030,TLA,SSP1,0,2.01,10.04,18.08,0,0,0"
"y2060,TLA,SSP1,0,6.15,30.74,55.32,0,0,0"
"y2065,TLA,SSP5,0,5.27,26.34,47.42,0,0,0"
"y2095,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2085,TLA,SSP4,0,8.3,41.48,74.66,0,0,0"
"y2035,TLA,SSP1,0,2.96,14.81,26.65,0,0,0"
"y2085,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2025,TLA,SSP5,0,1.06,5.31,9.56,0,0,0"
"y2045,TLA,SSP4,0,5.54,27.7,49.86,0,0,0"
"y2040,TLA,SSP3,0,2.84,14.19,25.55,0,0,0"
"y2070,TLA,SSP1,0,6.29,31.45,56.61,0,0,0"
"y2090,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2030,TLA,SSP5,0,2.02,10.08,18.15,0,0,0"
"y2100,TLA,SSP1,0,6.36,31.79,57.22,0,0,0"
"y2080,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2070,TLA,SSP4,0,7.7,38.48,69.27,0,0,0"
"y2090,TLA,SSP3,0,9.93,49.67,89.41,0,0,0"
"y2050,TLA,SSP5,0,4.64,23.21,41.79,0,0,0"
"y2070,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2060,TLA,SSP4,0,7.3,36.48,65.67,0,0,0"
"y2040,TLA,SSP5,0,3.53,17.67,31.8,0,0,0"
"y2030,TLA,SSP4,0,2.34,11.68,21.03,0,0,0"
"y2035,TLA,SSP4,0,3.46,17.28,31.1,0,0,0"
"y2040,TLA,SSP1,0,3.91,19.57,35.22,0,0,0"
"y2060,TLA,SSP5,0,5.2,26.02,46.83,0,0,0"
"y2045,TLA,SSP5,0,4.28,21.38,38.48,0,0,0"
"y2080,TLA,SSP3,0,8.52,42.58,76.64,0,0,0"
"y2045,TLA,SSP3,0,3.55,17.74,31.93,0,0,0"
"y2055,TLA,SSP4,0,6.91,34.54,62.17,0,0,0"
"y2025,TLA,SSP4,0,1.17,5.84,10.51,0,0,0"
"y2095,TLA,SSP4,0,8.7,43.48,78.26,0,0,0"
"y2025,TLA,SSP2,0,0.51,2.57,4.62,0,0,0"
"y2050,TLA,SSP3,0,4.26,21.29,38.32,0,0,0"
"y2090,TLA,SSP4,0,8.5,42.48,76.46,0,0,0"
"y2100,TLA,SSP4,0,8.89,44.47,80.05,0,0,0"
"y2085,TLA,SSP3,0,9.23,46.13,83.03,0,0,0"
"y2075,TLA,SSP5,0,5.33,26.65,47.98,0,0,0"
"y2065,TLA,SSP4,0,7.5,37.49,67.47,0,0,0"
"y2055,TLA,SSP3,0,4.97,24.84,44.71,0,0,0"
"y2095,TLA,SSP3,0,10.64,53.22,95.8,0,0,0"
"y2040,TLA,SSP4,0,4.57,22.87,41.17,0,0,0"
"y2035,TLA,SSP5,0,2.78,13.89,25,0,0,0"
"y2035,TLA,SSP2,0,1.54,7.68,13.82,0,0,0"
"y2060,TLA,SSP3,0,5.68,28.38,51.09,0,0,0"
"y2100,TLA,SSP3,0,11.35,56.77,102.19,0,0,0"
"y2030,TLA,SSP2,0,1.03,5.13,9.24,0,0,0"
"y2065,TLA,SSP3,0,6.39,31.93,57.48,0,0,0"
"y2075,TLA,SSP3,0,7.81,39.03,70.25,0,0,0"
"y2070,TLA,SSP3,0,7.1,35.48,63.87,0,0,0"
"y2100,USA,SSP5,0,14.85,74.26,133.67,0,14.85,14.85"
"y2030,USA,SSP4,0,0.67,3.36,6.05,0,0.67,0.67"
"y2095,USA,SSP5,0,13.92,69.62,125.32,0,13.92,13.92"
"y2045,USA,SSP3,0,1.57,7.86,14.15,0,1.57,1.57"
"y2030,USA,SSP2,0,0.73,3.63,6.53,0,0.73,0.73"
"y2050,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2055,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2055,USA,SSP5,0,6.5,32.49,58.48,0,6.5,6.5"
"y2070,USA,SSP5,0,9.28,46.41,83.55,0,9.28,9.28"
"y2035,USA,SSP2,0,1.09,5.44,9.79,0,1.09,1.09"
"y2085,USA,SSP5,0,12.07,60.34,108.61,0,12.07,12.07"
"y2025,USA,SSP4,0,0.34,1.68,3.03,0,0.34,0.34"
"y2035,USA,SSP4,0,1.01,5.04,9.08,0,1.01,1.01"
"y2045,USA,SSP4,0,1.68,8.41,15.13,0,1.68,1.68"
"y2075,USA,SSP5,0,10.21,51.06,91.9,0,10.21,10.21"
"y2090,USA,SSP5,0,13,64.98,116.96,0,13,13"
"y2095,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2040,USA,SSP3,0,1.26,6.29,11.32,0,1.26,1.26"
"y2080,USA,SSP5,0,11.14,55.7,100.25,0,11.14,11.14"
"y2065,USA,SSP5,0,8.35,41.77,75.19,0,8.35,8.35"
"y2055,USA,SSP4,0,2.35,11.77,21.19,0,2.35,2.35"
"y2085,USA,SSP4,0,4.04,20.18,36.32,0,4.04,4.04"
"y2040,USA,SSP4,0,1.35,6.73,12.11,0,1.35,1.35"
"y2060,USA,SSP4,0,2.69,13.45,24.21,0,2.69,2.69"
"y2075,USA,SSP4,0,3.7,18.49,33.29,0,3.7,3.7"
"y2040,USA,SSP5,0,3.71,18.57,33.42,0,3.71,3.71"
"y2100,USA,SSP2,0,5.8,29.02,52.24,0,5.8,5.8"
"y2025,USA,SSP2,0,0.36,1.81,3.26,0,0.36,0.36"
"y2060,USA,SSP5,0,7.43,37.13,66.84,0,7.43,7.43"
"y2080,USA,SSP4,0,4.04,20.18,36.32,0,4.04,4.04"
"y2100,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2025,USA,SSP3,0,0.31,1.57,2.83,0,0.31,0.31"
"y2070,USA,SSP4,0,3.36,16.81,30.26,0,3.36,3.36"
"y2035,USA,SSP5,0,2.78,13.92,25.06,0,2.78,2.78"
"y2090,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2085,USA,SSP1,0,6.47,32.35,58.23,0,6.47,6.47"
"y2030,USA,SSP3,0,0.63,3.14,5.66,0,0.63,0.63"
"y2025,USA,SSP5,0,0.93,4.64,8.35,0,0.93,0.93"
"y2090,USA,SSP4,0,4.04,20.18,36.32,0,4.04,4.04"
"y2035,USA,SSP3,0,0.94,4.72,8.49,0,0.94,0.94"
"y2090,USA,SSP1,0,6.97,34.84,62.71,0,6.97,6.97"
"y2065,USA,SSP4,0,3.03,15.13,27.24,0,3.03,3.03"
"y2050,USA,SSP4,0,2.02,10.09,18.16,0,2.02,2.02"
"y2045,USA,SSP5,0,4.64,23.21,41.77,0,4.64,4.64"
"y2085,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2095,USA,SSP1,0,6.97,34.84,62.71,0,6.97,6.97"
"y2025,USA,SSP1,0,0.5,2.49,4.48,0,0.5,0.5"
"y2095,USA,SSP2,0,5.44,27.21,48.97,0,5.44,5.44"
"y2050,USA,SSP5,0,5.57,27.85,50.13,0,5.57,5.57"
"y2050,USA,SSP2,0,2.18,10.88,19.59,0,2.18,2.18"
"y2100,USA,SSP1,0,6.97,34.84,62.71,0,6.97,6.97"
"y2030,USA,SSP1,0,1,4.98,8.96,0,1,1"
"y2085,USA,SSP2,0,4.72,23.58,42.44,0,4.72,4.72"
"y2080,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2070,USA,SSP2,0,3.63,18.14,32.65,0,3.63,3.63"
"y2030,USA,SSP5,0,1.86,9.28,16.71,0,1.86,1.86"
"y2095,USA,SSP4,0,4.04,20.18,36.32,0,4.04,4.04"
"y2090,USA,SSP2,0,5.08,25.39,45.71,0,5.08,5.08"
"y2075,USA,SSP2,0,3.99,19.95,35.91,0,3.99,3.99"
"y2060,USA,SSP2,0,2.9,14.51,26.12,0,2.9,2.9"
"y2100,USA,SSP4,0,4.04,20.18,36.32,0,4.04,4.04"
"y2080,USA,SSP2,0,4.35,21.77,39.18,0,4.35,4.35"
"y2075,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2055,USA,SSP1,0,3.48,17.42,31.35,0,3.48,3.48"
"y2065,USA,SSP2,0,3.26,16.32,29.38,0,3.26,3.26"
"y2065,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2075,USA,SSP1,0,5.47,27.37,49.27,0,5.47,5.47"
"y2055,USA,SSP2,0,2.54,12.7,22.85,0,2.54,2.54"
"y2045,USA,SSP2,0,1.81,9.07,16.32,0,1.81,1.81"
"y2035,USA,SSP1,0,1.49,7.47,13.44,0,1.49,1.49"
"y2070,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2080,USA,SSP1,0,5.97,29.86,53.75,0,5.97,5.97"
"y2040,USA,SSP2,0,1.45,7.26,13.06,0,1.45,1.45"
"y2060,USA,SSP3,0,1.89,9.43,16.98,0,1.89,1.89"
"y2040,USA,SSP1,0,1.99,9.95,17.92,0,1.99,1.99"
"y2070,USA,SSP1,0,4.98,24.88,44.79,0,4.98,4.98"
"y2050,USA,SSP1,0,2.99,14.93,26.87,0,2.99,2.99"
"y2060,USA,SSP1,0,3.98,19.91,35.83,0,3.98,3.98"
"y2045,USA,SSP1,0,2.49,12.44,22.4,0,2.49,2.49"
"y2065,USA,SSP1,0,4.48,22.4,40.31,0,4.48,4.48"
