"t","i","forestry","pasture"
"y2065","CHA",6.2174925098221,0.0643235350833959
"y2065","DEA",1.22484455612105,0.153105569515131
"y2065","EUR",2.78072359621795,0.132009609541561
"y2065","IND",2.19044042929672,0.0544370969386247
"y2065","MEA",0.332192100182855,0.0415240125228569
"y2065","NEU",0.418370990104988,0.0522963737631235
"y2065","REF",0.774028449212997,0.0621437054840904
"y2065","RUS",1.56875356246622,0.0337587666687472
"y2065","SAF",0.383684677718232,0.047960584714779
"y2065","SAS",1.43213635272017,0.179017044090021
"y2065","SCO",1.04275950541416,0.0267810367035771
"y2065","SEA",3.86326040939876,0.0647703897556264
"y2065","TAF",0.468446391325513,0.047960584714779
"y2065","TLA",2.5539340177999,0.0267810367035771
"y2065","USA",2.7366680750064,0.0635178445774245
"y2070","ANZ",6.02174321094264,0.110541221701858
"y2070","BRA",5.23514390563165,0.0704110362049254
"y2070","CAN",1.38065517103398,0.172581896379248
"y2070","CHA",6.2174925098221,0.0643235350833959
"y2070","DEA",1.22484455612105,0.153105569515131
"y2070","EUR",2.78072359621795,0.132009609541561
"y2070","IND",2.19044042929672,0.0544370969386247
"y2070","MEA",0.332192100182855,0.0415240125228569
"y2070","NEU",0.418370990104988,0.0522963737631235
"y2070","REF",0.774028449212997,0.0621437054840904
"y2070","RUS",1.56875356246622,0.0337587666687472
"y2070","SAF",0.383684677718232,0.047960584714779
"y2070","SAS",1.43213635272017,0.179017044090021
"y2070","SCO",1.04275950541416,0.0267810367035771
"y2070","SEA",3.86326040939876,0.0647703897556264
"y2070","TAF",0.468446391325513,0.047960584714779
"y2070","TLA",2.5539340177999,0.0267810367035771
"y2070","USA",2.7366680750064,0.0635178445774245
"y2075","ANZ",6.02174321094264,0.110541221701858
"y2075","BRA",5.23514390563165,0.0704110362049254
"y2075","CAN",1.38065517103398,0.172581896379248
"y2075","CHA",6.2174925098221,0.0643235350833959
"y2075","DEA",1.22484455612105,0.153105569515131
"y2075","EUR",2.78072359621795,0.132009609541561
"y2075","IND",2.19044042929672,0.0544370969386247
"y2075","MEA",0.332192100182855,0.0415240125228569
"y2075","NEU",0.418370990104988,0.0522963737631235
"y2075","REF",0.774028449212997,0.0621437054840904
"y2075","RUS",1.56875356246622,0.0337587666687472
"y2075","SAF",0.383684677718232,0.047960584714779
"y2075","SAS",1.43213635272017,0.179017044090021
"y2075","SCO",1.04275950541416,0.0267810367035771
"y2075","SEA",3.86326040939876,0.0647703897556264
"y2075","TAF",0.468446391325513,0.047960584714779
"y2075","TLA",2.5539340177999,0.0267810367035771
"y2075","USA",2.7366680750064,0.0635178445774245
"y2080","ANZ",6.02174321094264,0.110541221701858
"y2080","BRA",5.23514390563165,0.0704110362049254
"y2080","CAN",1.38065517103398,0.172581896379248
"y2080","CHA",6.2174925098221,0.0643235350833959
"y2080","DEA",1.22484455612105,0.153105569515131
"y2080","EUR",2.78072359621795,0.132009609541561
"y2080","IND",2.19044042929672,0.0544370969386247
"y2080","MEA",0.332192100182855,0.0415240125228569
"y2080","NEU",0.418370990104988,0.0522963737631235
"y2080","REF",0.774028449212997,0.0621437054840904
"y2080","RUS",1.56875356246622,0.0337587666687472
"y2080","SAF",0.383684677718232,0.047960584714779
"y2080","SAS",1.43213635272017,0.179017044090021
"y2080","SCO",1.04275950541416,0.0267810367035771
"y2080","SEA",3.86326040939876,0.0647703897556264
"y2080","TAF",0.468446391325513,0.047960584714779
"y2080","TLA",2.5539340177999,0.0267810367035771
"y2080","USA",2.7366680750064,0.0635178445774245
"y2085","ANZ",6.02174321094264,0.110541221701858
"y2085","BRA",5.23514390563165,0.0704110362049254
"y2085","CAN",1.38065517103398,0.172581896379248
"y2085","CHA",6.2174925098221,0.0643235350833959
"y2085","DEA",1.22484455612105,0.153105569515131
"y2085","EUR",2.78072359621795,0.132009609541561
"y2085","IND",2.19044042929672,0.0544370969386247
"y2085","MEA",0.332192100182855,0.0415240125228569
"y2085","NEU",0.418370990104988,0.0522963737631235
"y2085","REF",0.774028449212997,0.0621437054840904
"y2085","RUS",1.56875356246622,0.0337587666687472
"y2085","SAF",0.383684677718232,0.047960584714779
"y2085","SAS",1.43213635272017,0.179017044090021
"y2085","SCO",1.04275950541416,0.0267810367035771
"y2085","SEA",3.86326040939876,0.0647703897556264
"y2085","TAF",0.468446391325513,0.047960584714779
"y2085","TLA",2.5539340177999,0.0267810367035771
"y2085","USA",2.7366680750064,0.0635178445774245
"y2090","ANZ",6.02174321094264,0.110541221701858
"y2090","BRA",5.23514390563165,0.0704110362049254
"y2090","CAN",1.38065517103398,0.172581896379248
"y2090","CHA",6.2174925098221,0.0643235350833959
"y2090","DEA",1.22484455612105,0.153105569515131
"y2090","EUR",2.78072359621795,0.132009609541561
"y2090","IND",2.19044042929672,0.0544370969386247
"y2090","MEA",0.332192100182855,0.0415240125228569
"y2090","NEU",0.418370990104988,0.0522963737631235
"y2090","REF",0.774028449212997,0.0621437054840904
"y2090","RUS",1.56875356246622,0.0337587666687472
"y2090","SAF",0.383684677718232,0.047960584714779
"y2090","SAS",1.43213635272017,0.179017044090021
"y2090","SCO",1.04275950541416,0.0267810367035771
